Lake,Lat,Lon,PW,Chlorophyll,NDVI,Depth,PD,PWLG,DepthLG,PDLG,DepthLG10
SA_402,-2.943389106,-58.26789611,399.5952836,13.37745519,0.268789772,3,133.1984279,2.602705832,0.602059991,4.323000813,0.477121255
AS_473,30.68442936,81.47097104,401.6702345,1.201471371,0.004032162,45,8.926005211,2.604949528,1.662757832,1.566643968,1.653212514
NA_448,45.939529,-119.2654375,406.7132357,4.048745651,0.373419534,47.646484,8.536059779,2.61035481,1.687051456,1.547288199,1.678030858
AF_314,7.1510385,-5.5739565,410.757131,0.936414681,0.529939972,11.62207,35.34285467,2.614641129,1.101130584,2.374505954,1.065283487
EU_396,59.63947413,39.45731241,415.7984943,41.54086921,0.237508886,0.99999994,415.7985192,2.619926141,0.301029983,8.703206632,-2.61E-08
NA_450,54.91016438,-109.7571309,417.5913971,38.33038217,0.079067852,10.823242,38.5828384,2.621790298,1.072736579,2.444020601,1.034357369
NA_437,59.17843098,-105.3085241,418.6008498,22.78947328,0.181927611,4.8115234,86.99964959,2.622836359,0.764289991,3.431729305,0.682282602
NA_431,67.16060729,-125.9825133,418.7697873,41.73190958,0.032715389,3,139.5899291,2.623011177,0.602059991,4.356727261,0.477121255
NA_390,50.72852572,-70.7527783,426.1612199,7.177652715,0.28053773,26,16.39081615,2.630591818,1.431363764,1.837822002,1.414973348
NA_426,54.78410336,-125.9802655,429.8188048,4.33046497,0.377130689,26,16.53149249,2.634294652,1.431363764,1.840408929,1.414973348
NA_405,66.82437252,-125.2112566,435.5099784,29.27516898,0.098541966,3.125,139.3631931,2.639994176,0.615423953,4.289716322,0.494850022
NA_355,29.9458935,-93.31046329,440.7201036,14.45753627,0.054791237,1.6123047,273.3478998,2.645147165,0.417023832,6.342916073,0.20744712
